iter	Passed	Remaining
922	5705	12838
923	5711	12832
924	5717	12825
925	5723	12819
926	5729	12813
927	5735	12806
928	5741	12800
929	5748	12793
930	5754	12788
931	5760	12781
932	5766	12775
933	5772	12768
934	5778	12762
935	5784	12756
936	5790	12749
937	5796	12742
938	5802	12736
939	5808	12730
940	5815	12724
941	5821	12717
942	5827	12710
943	5833	12704
944	5839	12697
945	5845	12691
946	5851	12685
947	5857	12678
948	5863	12672
949	5870	12667
950	5877	12662
951	5883	12657
952	5890	12651
953	5896	12646
954	5903	12640
955	5909	12635
956	5915	12629
957	5922	12623
958	5928	12617
959	5935	12612
960	5941	12606
961	5948	12601
962	5954	12595
963	5960	12589
964	5967	12583
965	5973	12577
966	5979	12571
967	5986	12566
968	5992	12559
969	5998	12553
970	6004	12547
971	6010	12540
972	6016	12534
973	6022	12527
974	6029	12521
975	6035	12515
976	6041	12509
977	6047	12502
978	6053	12496
979	6059	12489
980	6065	12483
981	6071	12477
982	6077	12471
983	6083	12464
984	6089	12457
985	6096	12451
986	6101	12444
987	6107	12438
988	6113	12431
989	6119	12424
990	6125	12418
991	6131	12412
992	6137	12405
993	6143	12398
994	6149	12392
995	6155	12385
996	6161	12379
997	6167	12372
998	6173	12365
999	6179	12358
1000	6185	12352
1001	6191	12345
1002	6197	12338
1003	6203	12332
1004	6209	12325
1005	6215	12319
1006	6221	12313
1007	6227	12306
1008	6233	12299
1009	6238	12292
1010	6245	12286
1011	6250	12279
1012	6256	12272
1013	6262	12265
1014	6268	12258
1015	6274	12252
1016	6280	12245
1017	6286	12238
1018	6291	12231
1019	6297	12225
1020	6303	12218
1021	6310	12212
1022	6316	12207
1023	6323	12201
1024	6329	12195
1025	6335	12189
1026	6341	12182
1027	6347	12175
1028	6353	12169
1029	6358	12162
1030	6364	12155
1031	6370	12148
1032	6376	12141
1033	6382	12134
1034	6388	12128
1035	6394	12121
1036	6400	12114
1037	6405	12108
1038	6411	12101
1039	6417	12094
1040	6423	12087
1041	6429	12081
1042	6435	12074
1043	6441	12068
1044	6447	12061
1045	6453	12055
1046	6459	12048
1047	6465	12042
1048	6471	12035
1049	6477	12029
1050	6483	12023
1051	6489	12016
1052	6495	12009
1053	6501	12003
1054	6507	11996
1055	6513	11991
1056	6519	11984
1057	6525	11977
1058	6531	11970
1059	6537	11964
1060	6543	11957
1061	6549	11951
1062	6554	11944
1063	6560	11937
1064	6566	11930
1065	6572	11924
1066	6578	11917
1067	6584	11911
1068	6590	11904
1069	6596	11897
1070	6602	11891
1071	6608	11884
1072	6613	11878
1073	6619	11871
1074	6625	11864
1075	6631	11857
1076	6637	11851
1077	6643	11844
1078	6649	11837
1079	6654	11831
1080	6661	11824
1081	6667	11818
1082	6672	11811
1083	6678	11804
1084	6684	11798
1085	6690	11792
1086	6696	11785
1087	6702	11778
1088	6708	11771
1089	6714	11765
1090	6720	11759
1091	6726	11752
1092	6732	11746
1093	6738	11739
1094	6744	11732
1095	6750	11726
1096	6756	11720
1097	6762	11713
1098	6768	11706
1099	6774	11700
1100	6780	11694
1101	6786	11688
1102	6792	11681
1103	6798	11675
1104	6804	11669
1105	6810	11663
1106	6816	11656
1107	6823	11650
1108	6829	11644
1109	6834	11637
1110	6844	11637
1111	6850	11630
1112	6856	11624
1113	6862	11617
1114	6868	11612
1115	6875	11606
1116	6881	11599
1117	6887	11593
1118	6893	11586
1119	6899	11580
1120	6905	11574
1121	6911	11568
1122	6917	11561
1123	6923	11555
1124	6929	11548
1125	6935	11542
1126	6941	11536
1127	6947	11530
1128	6953	11523
1129	6959	11517
1130	6965	11511
1131	6971	11504
1132	6977	11498
1133	6983	11491
1134	6989	11485
1135	6995	11479
1136	7001	11472
1137	7007	11466
1138	7013	11459
1139	7019	11453
1140	7025	11446
1141	7031	11440
1142	7037	11433
1143	7043	11427
1144	7049	11420
1145	7055	11414
1146	7061	11408
1147	7067	11401
1148	7073	11395
1149	7079	11388
1150	7085	11382
1151	7091	11376
1152	7097	11369
1153	7103	11362
1154	7109	11356
1155	7115	11350
1156	7121	11344
1157	7127	11337
1158	7133	11331
1159	7139	11324
1160	7145	11318
1161	7151	11311
1162	7157	11305
1163	7163	11298
1164	7168	11291
1165	7175	11285
1166	7180	11279
1167	7186	11272
1168	7192	11265
1169	7198	11259
1170	7204	11253
1171	7210	11246
1172	7216	11240
1173	7222	11233
1174	7228	11226
1175	7234	11220
1176	7239	11213
1177	7245	11206
1178	7251	11200
1179	7257	11193
1180	7263	11187
1181	7269	11180
1182	7274	11173
1183	7280	11166
1184	7286	11159
1185	7292	11153
1186	7297	11146
1187	7303	11140
1188	7309	11133
1189	7315	11127
1190	7321	11121
1191	7328	11115
1192	7334	11109
1193	7340	11103
1194	7347	11097
1195	7353	11091
1196	7359	11084
1197	7365	11078
1198	7371	11072
1199	7377	11065
1200	7383	11059
1201	7389	11053
1202	7395	11046
1203	7401	11040
1204	7407	11034
1205	7414	11029
1206	7421	11024
1207	7427	11018
1208	7434	11013
1209	7440	11007
1210	7447	11001
1211	7453	10995
1212	7459	10989
1213	7465	10983
1214	7471	10977
1215	7478	10971
1216	7484	10965
1217	7490	10959
1218	7496	10952
1219	7502	10946
1220	7509	10940
1221	7515	10934
1222	7521	10928
1223	7527	10922
1224	7533	10916
1225	7540	10910
1226	7546	10904
1227	7552	10898
1228	7558	10892
1229	7565	10886
1230	7571	10880
1231	7577	10874
1232	7583	10868
1233	7589	10862
1234	7596	10855
1235	7602	10850
1236	7608	10844
1237	7614	10838
1238	7621	10831
1239	7627	10825
1240	7633	10820
1241	7639	10813
1242	7645	10807
1243	7652	10801
1244	7658	10795
1245	7664	10789
1246	7670	10783
1247	7676	10777
1248	7683	10771
1249	7689	10765
1250	7695	10759
1251	7701	10753
1252	7708	10747
1253	7714	10741
1254	7720	10734
1255	7726	10728
1256	7733	10722
1257	7739	10716
1258	7745	10710
1259	7751	10704
1260	7758	10698
1261	7764	10692
1262	7770	10686
1263	7776	10680
1264	7782	10674
1265	7789	10668
1266	7795	10662
1267	7801	10655
1268	7807	10649
1269	7813	10643
1270	7819	10637
1271	7825	10631
1272	7832	10625
1273	7838	10619
1274	7844	10613
1275	7850	10607
1276	7856	10601
1277	7863	10594
1278	7869	10589
1279	7875	10582
1280	7881	10576
1281	7887	10570
1282	7893	10564
1283	7899	10557
1284	7905	10551
1285	7911	10545
1286	7917	10538
1287	7923	10532
1288	7929	10525
1289	7935	10519
1290	7941	10513
1291	7947	10506
1292	7953	10500
1293	7959	10493
1294	7965	10487
1295	7971	10481
1296	7977	10474
1297	7983	10468
1298	7989	10461
